1	158.24123945526435	158.24123945526435
2	132.28031248548805	16.799616485281867
3	106.81367685999511	14.27357796541734
4	116.50248380534677	11.952902634843705
5	116.31945522926779	11.810451279746875
6	113.48321257355391	11.34832125735539
7	100.74614068340055	10.125368112824212
9	128.3282261630407	12.832822616304071
12	101.55597983068053	10.155597983068052
14	91.5198638994173	9.15198638994173
18	84.4777712226907	8.44777712226907
23	82.76732632319946	8.276732632319945
28	75.26125066997554	7.526125066997554
35	74.93151190352243	7.493151190352243
44	56.86422885082083	5.686422885082083
55	51.2008344879774	5.1200834487977405
69	42.82299904654929	4.282299904654929
86	40.90371997535038	4.090371997535038
108	37.54929581208982	3.7549295812089816
135	31.9142909989504	3.19142909989504
168	24.063021480626382	2.4063021480626383
210	22.871352733693147	2.287135273369315
263	21.70540541528383	2.170540541528383
328	18.742277557762094	1.8742277557762095
410	17.47199480518661	1.747199480518661
512	15.059661128885525	1.5059661128885524
640	13.00125099382499	1.3001250993824989
800	10.811581264238376	1.0811581264238375
1000	8.999766084806552	0.8999766084806552
1292	8.950301794931763	0.8950301794931763
1668	7.413081076435643	0.7413081076435643
2154	6.557409519529538	0.6557409519529538
2783	5.760894111725427	0.5760894111725426
3594	5.254947062757935	0.5254947062757935
4642	4.089859550882538	0.40898595508825386
5995	3.9411141219859522	0.39411141219859525
7743	3.2614497362184096	0.326144973621841
10000	2.8417153362673364	0.28417153362673364
